Earnings Binder Metric Definitions												
												
#	Metric	Definition	Specifications	PFIT Field Mappings	Automated Capture Process	Working Day Input Timing	Data Sources (SOR)	Report Frequency	Metric Destination	Metric Business Approver	Mertic Data Steward	Comments
1	Active Accounts	"The count of active accounts based on the prior 12 months of transaction activity.  An account is considered to be active if it is a registered account that meets either of the following conditions:

1. Account sent at least one payment in the past 12 months satisfying the following conditions:
    a. The payment is either successful, partially or fully reversed
    b. The payment is official
    c. The payment is neither a Direct Credit Card (DCC), Virtual Terminal (VT) nor a Web Accept eXpress payment (WAX)

2. Account is classfiied as a consumer or merchant account and received at least one payment in the past 12 months satisfying the following conditions:
    a. The payment is either successful, partially or fully reversed
    b. The payment is official
    c. The payment is neither a Direct Credit Card (DCC), Virtual Terminal (VT) nor a Web Accept eXpress payment (WAX)"	"CUSTOMER ACCOUNT CLASSIFICATION KEY: 1 = ""Consumer"", 2 = ""Merchant""
TRANSACTION TYPE: ""U"" (Payment Transaction)
TRANSACTION DATE: Last 12 months
REVERSAL STATUS: 
‘00’ – “Not Reversed”
‘01’ – “Partial Reversal”
‘02’ – “Full Reversal”
TRANSACTION AMOUNT: Not equal to 0
PAYMENT OFFICIAL: '00' (Yes)
Metric Type: Count
Is NOT DCC / WAX / VT payments AND
Exclude Guest accounts from Account Table – <Guest Account Flag>
"	"Account Classification key - PARTY_ACCOUNT_STATUS_CODE-Account type
Transaction type  - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCTRANTYP
Transaction date - AV_BV_RDL_ZAFI______Z_SLPD-<POSTING DATE>
Reversal Status - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCSTATUS
Transaction Amount - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCUSDAMT
Payment official -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCOFFPMT
DCC/WAX/VT Payment – AV_BV_RDL_ZAFI-Sender Type Key = 3 or 03 (Member Transaction) 
"	Yes /No  - is the capture of data elements for this metric automated	e.g. WD3	e.g. ECC	e.g. Monthly / Ad-hoc	Report Name X	Name of Business Approver for changes	Name of Person responsible for making the changes	Acquistion and Credit Active Accounts are determined by the Payment Flow dimension.
2	Active Accounts Consumer	The count of active accounts (as defined above) that are classified as Consumer accounts.	"Same as Active Accounts but with the following additional criteria:
CUSTOMER ACCOUNT CLASSIFICATION KEY: 1 = ""Consumer"""	Customer Type – Account type from Account table								
3	Active Accounts Merchant	The count of active accounts (as defined above) that are classified as Merchant accounts.	"Same as Active Accounts but with the following additional criteria:
CUSTOMER ACCOUNT CLASSIFICATION KEY: 2 = ""Merchant"""	Customer Type – Account type from Account table								
4	Active Accounts Mobile	The count of active accounts (as defined above) that are classified as Mobile accounts.	"Same as Active Accounts but with the following additional criteria:
Payment Flow - Contains ""mobile"" in sub flow, flow family, or primary flow"	"Mobile – From Payment Flow
Payment flow -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCPAYKEY"								Mobile is determined by Payment Flow
5	Active Accounts MP and MS	The count of active accounts (as defined above) that are classified as Marketplace or Merchant Services accounts.	"Same as Active Accounts but with the following additional criteria:
By Payment Flow node MP or MS"	"Payment Flow Node MP - From Payment Flow
Payment flow -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCPAYKEY"								Determined based on transactions under the MP node.
7	Application Downloads	The count of mobile application downloads in the given reporting period.	Manually loaded via upload template.	Manually loaded via upload template.								Only loaded by Venmo.
8	APV Mobile Rec	"Average Payment Volume of Mobile Payments, defined as:

APV Mobile Rec = nTPV Mobile Rec / No of Payments Mobile Rec"	"Calculated metric, see base metric definitions"	"Calculated metric, see base metric definitions"								
9	APV Rec	"Average Payment Volume (APV) is a calculated metric based on the corresponding nTPV and Number of Payments (No of Payments), defined as:

APV Rec = nTPV Rec / No of Payments Rec

APV is based on the relevant Received (""Rec"") metrics (e.g. nTPV Rec)."	"Calculated metric, see base metric definitions"	"Calculated metric, see base metric definitions"								
10	APV P2P Rec	"Average Payment Volume of P2P Payments, defined as:

APV Mobile Rec = nTPV P2P Rec / No of Payments P2P Rec"	"Calculated metric, see base metric definitions"	"Calculated metric, see base metric definitions"								
11	APV CBT Rec	"Average Payment Volume of Cross Border (CBT) Payments, defined as:

APV CBT Rec = nTPV CBT Rec / No of Payments CBT Rec"	"Calculated metric, see base metric definitions"	"Calculated metric, see base metric definitions"								
